Key;Type;Desc;English;Vietnamese [vi]
Story/Utopia/Voiceline/OlofCaught6;Text;;You don’t deserve any of it.;Lũ bọn mày không xứng đáng với bất kỳ cái gì.
Story/Utopia/Voiceline/OlofCaught7;Text;;Filthy rafters.;Lũ cặn bã bẩn thỉu
Story/Utopia/Voiceline/OlofDialogue1;Text;;Are you happy now?;Giờ chúng bay vui rồi chứ?
Story/Utopia/Voiceline/OlofDialogue10;Text;;Nothing you fools can come up with will rival what came before.;Không có thứ gì mà lũ ngu các ngươi nghĩ ra có thể sánh được với những gì đã có trước đó.
Story/Utopia/Voiceline/OlofDialogue11;Text;;Hey, are you listening to me?!;Này, chúng mày có đang nghe ta nói không đấy?!
Story/Utopia/Voiceline/OlofDialogue12_1;Text;;The Floating City Project was wrought with failures. Why? I spent a fortune on Tangaroa.;Dự án Thành phố nổi là một thất bại. Tại sao à? Ta đã dùng cả gia tài vào Tangaroa.
Story/Utopia/Voiceline/OlofDialogue12_2;Text;;Every expert told me we were on schedule. How do you explain that?;Mọi chuyên gia đều nói với ta rằng bọn ta đã đi đúng tiến độ. Bọn mày giải thích điều đó thế nào?
Story/Utopia/Voiceline/OlofDialogue12_3;Text;;Lazy workers. Lazy, stupid workers.;Một lũ lười biếng, đã lười còn ngu.
Story/Utopia/Voiceline/OlofDialogue13_1;Text;;"I was the majority shareholder of the Floating City Project of Tangaroa. ";Ta là cổ đông chính của Dự án Thành phố Nổi Tangaroa.
Story/Utopia/Voiceline/OlofDialogue13_2;Text;;Imagine the cost if we hadn’t made it out to sea, like the other cities? No, that wasn’t an option.;Hãy tưởng tượng cái giá phải trả nếu bọn ta không ra khơi, giống như các thành phố khác à? Không, đó không phải là lựa chọn.
Story/Utopia/Voiceline/OlofDialogue14_1;Text;;I did not abandon Tangaroa. My private consultants made it very clear.;Ta không bỏ rơi Tangaroa. Các chuyên gia tư vấn riêng của tôi đã nói rất rõ ràng về việc đó.
Story/Utopia/Voiceline/OlofDialogue14_2;Text;;"The city wouldn’t last a year out at sea. ";Thành phố sẽ không tồn tại được một năm nếu nó ở ngoài biển.
Story/Utopia/Voiceline/OlofDialogue14_3;Text;;Vasagatan was my way of saving a few souls from that fate.;Vasagatan là nơi ta đã cứu một số linh hồn khỏi đó.
Story/Utopia/Voiceline/OlofDialogue15;Text;;They would have drowned anyway.;Đằng nào thì chúng cũng chết đuối thôi.
Story/Utopia/Voiceline/OlofDialogue16;Text;;I am a good man. I am a good man.;Ta là người tốt. Ta là người tốt.
Story/Utopia/Voiceline/OlofDialogue17_1;Text;;"The Lurkers weren’t entirely useless. ";Lũ Lurker không hoàn toàn vô dụng.
Story/Utopia/Voiceline/OlofDialogue17_2;Text;;They wrought chaos onboard Tangaroa.;Chúng đã gây ra hỗn loạn trên Tangaroa.
Story/Utopia/Voiceline/OlofDialogue17_3;Text;;Any decent fighting force could have brought order within a day or two.;Bất kỳ lực lượng chiến đấu nào cũng có thể lập lại trật tự trong vòng một hoặc hai ngày.
Story/Utopia/Voiceline/OlofDialogue17_4;Text;;None of them were ready for reality. When there’s only food for one in ten, nine have to go.;Không ai trong số chúng đã sẵn sàng cho thực chiến. Chỉ khi có thức ăn cho một trong số mười con, thì chín con còn lại phải chết.
Story/Utopia/Voiceline/OlofDialogue18_1;Text;;The hyenas of Caravan Town were easily rounded up.;Những con linh cẩu ở Thị trấn Caravan rất dễ dàng bị vây bắt.
Story/Utopia/Voiceline/OlofDialogue18_2;Text;;"Their efficiency and discipline was unrivaled. ";Hiệu quả và kỷ luật của chúng là vô song.
Story/Utopia/Voiceline/OlofDialogue18_3;Text;;Had I only gotten a few more off that barren rock, then you would have never stood a chance.;Việt hoá bởi Hoàng Thông.
Story/Utopia/Voiceline/OlofDialogue19_1;Text;;"If you hadn’t interfered, I would be out there reinstating law and order. ";Nếu bọn chúng mày không can thiệp, ta đã ở ngoài đó để thiết lập lại luật pháp và trật tự.
Story/Utopia/Voiceline/OlofDialogue19_2;Text;;Have you ever done anything of such importance?;Đã bao giờ tụi bay làm bất cứ điều gì quan trọng như vậy chưa?
Story/Utopia/Voiceline/OlofDialogue2;Text;;These idiots won’t get anything done. They’ll starve soon, and so will you.;Lũ ngốc này sẽ chẳng làm được gì đâu. Chúng sẽ chết đói sớm thôi, và bọn mày cũng vậy.
Story/Utopia/Voiceline/OlofDialogue20_1;Text;;Yes, we all heard about the failure of the Forward Scouts.;Phải rồi, ai mà chẳng nghe về sự thất bại của hội Hướng Đạo Sinh.
Story/Utopia/Voiceline/OlofDialogue20_2;Text;;Those naive idiots couldn’t even beat the waves. What, you think you’re any different?;Những kẻ ngốc đó thậm chí không thể đánh bại những con sóng. Cái gì cơ?, mày nghĩ mày khác chúng à?
Story/Utopia/Voiceline/OlofDialogue21;Text;;Look at these people. They have no control. No power. They need me.;Hãy lũg người này đi. Chúng không có quyền kiểm soát, không có cả năng lượng. Chúng cần ta.
Story/Utopia/Voiceline/OlofDialogue3;Text;;Disorganized rabble.;Đúng là vô tổ chức.
Story/Utopia/Voiceline/OlofDialogue4;Text;;You need a strong leader. Not these weaklings.;Mày cần một nhà lãnh đạo mạnh mẽ. Không phải những kẻ yếu đuối này.
Story/Utopia/Voiceline/OlofDialogue5;Text;;This is what I get for trusting my army.;Đây là những gì ta nhận được khi tin tưởng vào quân đội của mình.
Story/Utopia/Voiceline/OlofDialogue6;Text;;If you have to do something, do it yourself.;Nếu mày phải làm gì đó, hãy tự mình làm.
Story/Utopia/Voiceline/OlofDialogue7;Text;;They don’t have the guts to rule.;Chúng không có can đảm để cai trị.
Story/Utopia/Voiceline/OlofDialogue8_1;Text;;"It’s the same story over and over again. The floating city project. Vasagatan. Tangaroa. ";Đó chỉ là cùng một câu chuyện được lặp đi lặp lại. Dự án thành phố nổi Vasagatan. Tangaroa.
Story/Utopia/Voiceline/OlofDialogue8_2;Text;;Failures brought on by weak spirits and undisciplined men.;Thất bại này là do tinh thần yếu kém của lũ người vô kỷ luật gây ra.
Story/Utopia/Voiceline/OlofDialogue9;Text;;You’re nothing but beasts in the rubble.;Chúng mày chẳng là gì ngoài kà những con thú bẩn thỉu trong đống đổ nát kia.
Story/Utopia/Voiceline/OlofFinal1;Text;;Get back!;Lùi cmn lại!
Story/Utopia/Voiceline/OlofFinal2;Text;;There’s nothing you can do. Stay away. All of this is mine.;Chúng bay không thể làm gì. Tránh xa ra. Tất cả là của ta.
Story/Utopia/Voiceline/OlofFinal3;Text;;You think you can change anything?;Bọn mày nghĩ có thể thay đổi mọi thứ à?
Story/Utopia/Voiceline/OlofFinal4;Text;;Without me, this Utopia will burn.;Không có ta, Utopia sẽ lụi tàn.
Story/Utopia/Voiceline/OlofFinal5;Text;;I am your saviour!;Ta là đấng cứu thế!
Story/Utopia/Voiceline/OlofFinal6;Text;;Stay away!;Tránh ra!
Story/Utopia/Voiceline/OlofSmallJusticeScale1;Text;;I will only say this once. Leave on your raft. Leave Utopia to me.;Ta chỉ nói một lần thôi. Biến đi Để Utopia lại cho ta.
Story/Utopia/Voiceline/OlofSmallJusticeScale2;Text;;Or else the Forward Scouts ends with you.;Không thì thứ gọi là Hướng Đạo Sinh sẽ kết thúc cùng với ngươi.
Story/Utopia/Voiceline/RebeccaDialogue1;Text;;This place is a mess.;Bản việt hoá này được phát hành miễn phí!
Story/Utopia/Voiceline/RebeccaDialogue2;Text;;There’s hyena hair everywhere!;Nếu bạn phải trả phí thì bạn đã bị lừa!
Story/Utopia/Voiceline/RebeccaDialogue3;Text;;It’ll take days to clean up the towers.;Việt hoá bởi Hoàng Thông. Hẹn gặp lại các bạn vào dự án khác!
Story/Utopia/Voiceline/RebeccaDialogue4;Text;;I hope the council makes Olof clean it up himself.;https://www.facebook.com/tht.220498/
Story/Utopia/Voiceline/TimurDialogue1;Text;;The future is bright!;Tương lai chúng ta đang ngời sáng phía trước.
Story/Utopia/Voiceline/TimurDialogue2;Text;;I was so scared Utopia would fall into ruin after this incident.;Tôi đã rất sợ Utopia sẽ sụp đổ sau sự cố này.
Story/Utopia/Voiceline/TimurDialogue3;Text;;Now I'm hopeful again.;Bây giờ tôi đã có lại hy vọng.
Story/Utopia/Voiceline/TimurDialogue4;Text;;We can do it! We can rebuild!;Chúng ta có thể làm được! Chúng ta có thể tái xây dựng!
Story/Utopia/Voiceline/ToshiroDialogue1;Text;;You deserve all the credit in the world.;Các cậu xứng đáng với tất cả những gì các cậu đã làm.
Story/Utopia/Voiceline/ToshiroDialogue2;Text;;You know, I was almost a Forward Scout myself.;Cậu biết không, suýt chút nữa thì tôi cũng đã trở thành Hướng Đạo Sinh đấy.
Story/Utopia/Voiceline/ToshiroDialogue3;Text;;Ended up as working in a raft town instead.;Nhưng cuối cùng lại đi làm việc ở một thị trấn bè.
Story/Utopia/Voiceline/ToshiroDialogue4;Text;;But I’ll tell you, I’m a really good at building rafts.;Nhưng nói cậu nghe, tôi rất giỏi trong việc đóng bè đấy.
Story/Utopia/Voiceline/ToshiroDialogue5;Text;;Used to build boats before the flood. Wasn’t as fun, if I’m honest.;Bản việt hoá này là miễn phí, nếu bạn phải trả phí, bạn đã bị lừa!
Story/Utopia/Voiceline/ToshiroDialogue6;Text;;Rafts are magical in their own way, don't you agree?;Việt hoá bởi Hoàng Thông!
Story/Utopia/Voiceline/UllaDialogue1;Text;;There is something deeply wrong with those hyenas.;Có điều gì đó không ổn với những con linh cẩu đó.
Story/Utopia/Voiceline/UllaDialogue2;Text;;I lived on Temperance for a bit. As a researcher.;Tôi đã sống ở Temperance một thời gian. Tôi cũng là một nhà nghiên cứu.
Story/Utopia/Voiceline/UllaDialogue3;Text;;Olof’s hyenas seem to be afflicted by some kind of rapid mutation.;Những con linh cẩu của Olof dường như bị ảnh hưởng bởi một số loại đột biến nào đó.
Story/Utopia/Voiceline/UllaDialogue4;Text;;I’ll be sure to investigate on behalf of the council.;Tôi chắc chắn sẽ điều tra thay mặt cho hội đồng.
Story/Utopia/Voiceline/VanessaDialogue1;Text;;This place is a mess.;Nơi này đúng là một mớ hỗn độn.
Story/Utopia/Voiceline/VanessaDialogue2;Text;;There’s hyena hair everywhere!;Lông của con hyena ở khắp mọi nơi.
Story/Utopia/Voiceline/VanessaDialogue3;Text;;It’ll take days to clean up the towers.;Phải mất vài ngày mới dọn sạch hết được.
Story/Utopia/Voiceline/VanessaDialogue4;Text;;I hope the council makes Olof clean it up himself.;Tôi hy vọng hội đồng sẽ bắt Olof tự dọn dẹp.
Story/Utopia/Voiceline/ZayanaDialogue1;Text;;It’s you!;Là cậu!
Story/Utopia/Voiceline/ZayanaDialogue2;Text;;Don’t know what we would've done without you.;Không biết chúng tôi có thể làm được gì nếu không có cậu.
Story/Utopia/Voiceline/ZayanaDialogue3;Text;;Thank you, Forward Scout.;Cảm Hướng Đạo Sinh các cậu.
Story/Utopia/Voiceline/ZayanaDialogue4;Text;;We can go back to normal now.;Giờ đây chúng tôi có thể quay về cuộc sống bình thường rồi.
Story/Varuna/Grabber1;Text;;"Varuna Point has all too many holes in it. Makes it easy to move unnoticed.

Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash. It’s less fun taking food, since it spoils, eventually.  The watch I got from the loud-mouthed driller was way more exciting.

I want to grab something even better tonight.";"Varuna Point có quá nhiều lỗ hổng. Điều này giúp tôi dễ dàng di chuyển mà không bị ai phát hiện.

Hôm nay tôi đã thó một cái búa. Còn hôm qua tôi đã trộm một ít thịt khô từ kho của quản đốc. Việc trộm thức ăn này cũng chẳng có gì thú vị, vì cuối cùng miếng thịt ấy cũng sẽ hỏng. Nhưng chiếc đồng hồ tôi trộm được từ gã thợ khoan to mồm thú vị hơn nhiều.

Tối nay tôi muốn trộm lấy thứ gì đó thú vị hơn."
Story/Varuna/Grabber2;Text;;"I heard them talking about me this morning. They call me the Grabber. It’s growing on me.

I moved my cache. It’s higher up now, on the new floor. Right under their noses. The foreman complained about the lack of cameras. Ha! Like that’d matter. I wouldn’t get caught even if the walls had eyes.

I’m starting to get good at this.
~The Grabber";"Sáng nay tôi đã nghe họ nói gì đó về tôi. Họ gọi tôi là Kẻ Trộm. Nó là bản năng của tôi rồi.

Tôi đã di chuyển qua chỗ khác. Bây giờ tôi đang ở trên tầng đang xây dở. Ngay dưới mũi họ. Lão quản đốc phàn nàn về việc thiếu quá nhiều camera quan sát. Xí! Cứ làm như ấy là vấn đề ấy. Kể cả có gắn camera thì tôi cũng chả bị bắt.

Tôi bắt đầu giỏi việc này rồi đấy.
~Kẻ Trộm
"
Story/Varuna/Grabber3;Text;;"We don’t work on new floors anymore. Everyone is scared of ""the Grabber"". There’s talk about leaving before ''the water gets even higher''.  Leaving for that other construction project, the one taken over by rafters. They call it Utopia.

Ha! The only utopia I need is right here! I’ve started to secure the tower. As long as I live no one will claim my treasure. No one will reach my nest!
~The Grabber";"Chúng tôi không tiếp tục xây dựng trên các tầng trên nữa đâu. Mọi người đều sợ gã ""Kẻ Trộm"". Họ nói về việc sẽ rời đi trước khi ''nước dâng cao hơn''. Họ đi đến công trình xây dựng khác, công trình bị người di cư chiếm giữ. Họ gọi nó là Utopia.

Ha! Điều duy nhất tôi cần là ở ngay đây! Tôi đã bắt đầu bảo vệ tòa tháp. Chừng nào tôi còn sống, sẽ không ai lấy được kho báu của tôi. Sẽ không ai đến được chỗ của tôi!
~Kẻ Trộm"
Story/Varuna/Grabber4;Text;;"When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…

Today it was a man named Ruben and a boy named Detto. They were caught in a storm and needed supplies. When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!
In the morning they were so freaked out they sailed away immediately. Hilarious!
~The Grabber";"Khi những người khác đến, họ đã không ở lại lâu. Tại sao? Có lẽ bởi vì tôi cứ trộm đồ của họ…

Hôm nay có người đàn ông tên Ruben và một cậu bé tên Detto đến. Họ bị cuốn vào một cơn bão và cần đồ tiếp tế. Khi họ chìm vào giấc ngủ, tôi đã trộm cả tá công cụ. Mấy thứ đồ trông thô thiển. Nhưng vẫn còn tốt!
Sáng họ thức dậy, vì quá hoảng sợ nên họ ngay lập tức rời đi. Hài vãi bìu!
~Kẻ Trộm"
Story/Varuna/Grabber5;Text;;"A man talking to dolls arrived yesterday. I found his loud discussions entertaining. Maybe I miss company a bit too.

The man climbed high up into the crane with a satellite dish. He called out on his little radio for ‘Astrid’. It looked… unsuccessful.

I might have… stolen one of his dolls. ‘Miranda’ is her name. The man left an hour ago, after freaking out all day over it! Ha! So many strange people these days.
~The Grabber";"Ngày hôm qua một người đàn ông với mấy con búp bê đã đến. Tôi thấy mấy cuộc thảo luận ồn ào của anh ấy rất thú vị. Có lẽ vì tôi cảm thấy nhớ những người bạn của tôi một chút.

Anh ta đã trèo lên trên cần cẩu với cái đĩa vệ tinh trên tay. Anh ta gọi 'Astrid' trên chiếc radio nhỏ của mình. Trông có vẻ… không được suôn sẻ lắm.

Tôi đã… trộm một trong những con búp bê của anh ấy. Tên con búp bê là ‘Miranda’. Anh ta đã rời đi một giờ trước, sau khi lo lắng cả ngày về nó! Ha! Dạo này nhiều người lạ quá.
~Kẻ Trộm"
Story/Varuna/Grabber6;Text;;"I would be bored these days, if the ‘motherlode’ wasn’t on the forefront of my mind. The water stole it from me. I should’ve acted sooner. 

Now there’s trouble in the way. It’s risky to deal with, but it might be worth it. The thought gnaws at me.

But it’s just one shark. How hard could it be?
~The Grabber";"Mấy ngày qua tôi đã cảm thấy buồn chán, nếu không vì “nó” xuất hiện trong tâm trí tôi. Nước đã cuốn trôi nó khỏi tôi. Đáng lẽ tôi nên hành động sớm hơn.

Tôi có cách này. Nó rất nguy hiểm để thực hiện, nhưng nó cũng đáng để thực hiện. Ý nghĩ đó cứ quanh quẩn trong tôi.

Mà đó chỉ là một con cá mập. Có thể khó đến mức nào cơ chứ?
~Kẻ Trộm"
Story/Varuna/Voiceline/Grabber1_1;Text;;Varuna Point has all too many holes in it. Makes it easy to move unnoticed.;Varuna Point có quá nhiều lỗ hổng. Điều này giúp tôi dễ dàng di chuyển mà không bị ai phát hiện.
Story/Varuna/Voiceline/Grabber1_2;Text;;Today I nicked a hammer. Yesterday I took some dried meat from the foreman’s stash.;"Hôm nay tôi đã thó một cái búa. Còn hôm qua tôi đã trộm một ít thịt khô từ kho của quản đốc. "
Story/Varuna/Voiceline/Grabber1_3;Text;;"It’s less fun taking food, since it spoils, eventually. ";Việc trộm thức ăn này cũng chẳng có gì thú vị, vì cuối cùng miếng thịt ấy cũng sẽ hỏng.
Story/Varuna/Voiceline/Grabber1_4;Text;;The watch I got from the loud-mouthed driller was way more exciting.;Nhưng chiếc đồng hồ tôi trộm được từ gã thợ khoan to mồm thú vị hơn nhiều.
Story/Varuna/Voiceline/Grabber1_5;Text;;I want to grab something even better tonight.;Tối nay tôi muốn trộm lấy thứ gì đó thú vị hơn.
Story/Varuna/Voiceline/Grabber2_1;Text;;I heard them talking about me this morning. They call me the Grabber. It’s growing on me.;Sáng nay tôi đã nghe họ nói gì đó về tôi. Họ gọi tôi là Kẻ Trộm. Nó là bản năng của tôi rồi.
Story/Varuna/Voiceline/Grabber2_2;Text;;I moved my cache. It’s higher up now, on the new floor. Right under their noses.;Tôi đã di chuyển qua chỗ khác. Bây giờ tôi đang ở trên tầng đang xây dở. Ngay dưới mũi họ.
Story/Varuna/Voiceline/Grabber2_3;Text;;The foreman complained about the lack of cameras. Ha! Like that’d matter.;Lão quản đốc phàn nàn về việc thiếu quá nhiều camera quan sát. Xí! Cứ làm như ấy là vấn đề ấy.
Story/Varuna/Voiceline/Grabber2_4;Text;;I wouldn’t get caught even if the walls had eyes. I’m starting to get good at this.;Kể cả có gắn camera thì tôi cũng chả bị bắt. Tôi bắt đầu giỏi việc này rồi đấy.
Story/Varuna/Voiceline/Grabber3_1;Text;;"We don’t work on new floors anymore. Everyone is scared of ""the Grabber"".";"Chúng tôi không tiếp tục xây dựng trên các tầng trên nữa đâu. Mọi người đều sợ gã ""Kẻ Trộm"". "
Story/Varuna/Voiceline/Grabber3_2;Text;;"There’s talk about leaving before ''the water gets even higher''. ";Họ nói về việc sẽ rời đi trước khi ''nước dâng cao hơn''.
Story/Varuna/Voiceline/Grabber3_3;Text;;Leaving for that other construction project, the one taken over by rafters.;Họ đi đến công trình xây dựng khác, công trình bị người di cư chiếm giữ.
Story/Varuna/Voiceline/Grabber3_4;Text;;They call it Utopia. Ha! The only utopia I need is right here! I’ve started to secure the tower.;Họ gọi nó là Utopia. Ha! Điều duy nhất tôi cần là ở ngay đây! Tôi đã bắt đầu bảo vệ tòa tháp.
Story/Varuna/Voiceline/Grabber3_5;Text;;As long as I live no one will claim my treasure. No one will reach my nest!;Chừng nào tôi còn sống, sẽ không ai lấy được kho báu của tôi. Sẽ không ai đến được chỗ của tôi!
Story/Varuna/Voiceline/Grabber4_1;Text;;When people come by they don’t stay for long. Why? Probably because I keep stealing their stuff…;Khi những người khác đến, họ đã không ở lại lâu. Tại sao? Có lẽ bởi vì tôi cứ trộm đồ của họ…
Story/Varuna/Voiceline/Grabber4_2;Text;;Today it was a man named Ruben and a boy named Detto.;Hôm nay có người đàn ông tên Ruben và một cậu bé tên Detto đến.
Story/Varuna/Voiceline/Grabber4_3;Text;;"They were caught in a storm and needed supplies. ";Họ bị cuốn vào một cơn bão và cần đồ tiếp tế.
Story/Varuna/Voiceline/Grabber4_4;Text;;When they fell asleep I nicked a whole set of tools. Crude stuff. But still good!;Khi họ chìm vào giấc ngủ, tôi đã trộm cả tá công cụ. Mấy thứ đồ trông thô thiển. Nhưng vẫn còn tốt!
Story/Varuna/Voiceline/Grabber4_5;Text;;In the morning they were so freaked out they sailed away immediately. Hilarious!;Sáng họ thức dậy, vì quá hoảng sợ nên họ ngay lập tức rời đi. Hài vãi bìu!
Story/Varuna/Voiceline/Grabber5_1;Text;;"A man talking to dolls arrived yesterday. I found his loud discussions entertaining. ";Ngày hôm qua một người đàn ông với mấy con búp bê đã đến. Tôi thấy mấy cuộc thảo luận ồn ào của anh ấy rất thú vị.
Story/Varuna/Voiceline/Grabber5_2;Text;;Maybe I miss company a bit too. The man climbed high up into the crane with a satellite dish.;Có lẽ vì tôi cảm thấy nhớ những người bạn của tôi một chút. Anh ta đã trèo lên trên cần cẩu với cái đĩa vệ tinh trên tay.
Story/Varuna/Voiceline/Grabber5_3;Text;;He called out on his little radio for ‘Astrid’. It looked… unsuccessful.;Anh ta gọi 'Astrid' trên chiếc radio nhỏ của mình. Trông có vẻ… không được suôn sẻ lắm.
Story/Varuna/Voiceline/Grabber5_4;Text;;I might have… stolen one of his dolls. ‘Miranda’ is her name.;Tôi đã… trộm một trong những con búp bê của anh ấy. Tên con búp bê là ‘Miranda’.
Story/Varuna/Voiceline/Grabber5_5;Text;;" The man left an hour ago, after freaking out all day over it! Ha! So many strange people these days.";Anh ta đã rời đi một giờ trước, sau khi lo lắng cả ngày về nó! Ha! Dạo này nhiều người lạ quá.
Story/Varuna/Voiceline/Grabber6_1;Text;;I would be bored these days, if the ‘motherlode’ wasn’t on the forefront of my mind.;Mấy ngày qua tôi đã cảm thấy buồn chán, nếu không vì “nó” xuất hiện trong tâm trí tôi.
Story/Varuna/Voiceline/Grabber6_2;Text;;"The water stole it from me. I should’ve acted sooner. ";Nước đã cuốn trôi nó khỏi tôi. Đáng lẽ tôi nên hành động sớm hơn.
Story/Varuna/Voiceline/Grabber6_3;Text;;Now there’s trouble in the way. It’s risky to deal with, but it might be worth it. The thought gnaws at me.;Tôi có cách này. Nó rất nguy hiểm để thực hiện, nhưng nó cũng đáng để thực hiện. Ý nghĩ đó cứ quanh quẩn trong tôi.
Story/Varuna/Voiceline/Grabber6_4;Text;;But it’s just one shark. How hard could it be?;Mà đó chỉ là một con cá mập. Có thể khó đến mức nào cơ chứ?
Story/Vasagatan/HannesLetter1;Text;;"I heard from the captain we’re heading for one of the high-rises down south. I can only hope you come to your senses and follow us.

You knew the city was a failure, Ruben. Why do you always have to be so stubborn? 
~Hanne";"Em nghe đội trưởng nói rằng bọn em đang hướng đến một trong những tòa nhà cao tầng ở phía nam. Em chỉ có thể hy vọng anh vẫn còn sống và đang đi theo bọn em.

Anh biết thành phố là một thất bại mà, Ruben. Tại sao anh luôn cứng đầu như vậy chứ?
~Hanne"
Story/Vasagatan/HannesLetter2;Text;;"Ruben,

The yacht is ill prepared for this journey. Olof left space for a dance floor, but no space for supplies. The bottles sure found their way to the bar. As a military man I thought Olof would at the very least be practical. Yet they’re all treating it like a luxury cruise.

I’m sorry, Ruben. I shouldn't have left.
~Hanne";"Ruben,

Chiếc du thuyền không được chuẩn bị đủ tốt cho chuyến đi này. Olof dành không gian để làm sàn nhảy, nhưng không có chỗ cho đồ dung tiếp tế. Mấy chai rượu chắc chắn đã tìm được đường đến quầy bar. Là một quân nhân, em nghĩ Olof ít nhất cũng phải thực tế. Tuy nhiên, tất cả họ đều coi nó như một chuyến du lịch trên chiếc du thuyền sang trọng.

Em xin lỗi, Ruben. Em không nên rời đi.
~Hanne"
Story/Vasagatan/HannesLetter3;Text;;"I saw a large rat last night… Unnervingly large. I tried telling the crew we obviously have an infestation among the locked down supplies. They laughed at me.

I miss you, Ruben.
~Hanne";"Tối qua em đã nhìn thấy một con chuột rất lớn… Nó lớn đến mức đáng kinh ngạc. Em đã cố gắng nói với phi hành đoàn rằng rõ ràng có một sự phá hoại trong khu vực nguồn cung cấp. Nhưng bọn họ đã cười nhạo em.

Em nhớ anh, Ruben.
~Hanne"
Story/Vasagatan/MagazineClipping1;Text;;"calling the cost of the project’s realization “borderline criminal” and its scope “outrageous, at least”. Despite vocal opposition, the Floating Cities Project does not appear to be slowing down anytime soon. According to former General Olof Wilkstrom’s latest statement on the issue:

“We are fully aware of the strain this puts on our people. Nevertheless, our options are becoming increasingly limited. We must pull through this together or join Stockholm beneath the waves.”";"Phải gọi chi phí thực hiện cho dự án này là “lũ tội phạm biên giới” và phạm vi của nó ít nhất là “thái quá”. Bất chấp sự phản đối gay gắt, dự án Thành phố nổi dường như sẽ không bị chậm lại. Theo tuyên bố mới nhất của cựu Tướng quân Olof Wilkstrom về vấn đề này:

“Chúng tôi hoàn toàn nhận thức được sự căng thẳng mà điều này gây ra cho người dân của chúng tôi. Tuy nhiên, các lựa chọn của chúng tôi ngày càng trở nên hạn chế. Chúng ta phải cùng nhau vượt qua điều này hoặc phải bỏ mạng dưới những con sóng.”"
Story/Vasagatan/MagazineClipping2;Text;;"""We must pull through this together or join Stockholm beneath the waves.""";"""Chúng ta phải cùng nhau vượt qua điều này hoặc phải bỏ mạng dưới những con sóng.”"
Story/Vasagatan/MagazineClipping3;Text;;Wilkstrom refused to comment on the rumors regarding the modification of his personal yacht. When further asked about the Floating City Project’s whistle blowers, Olof Wilkstrom chose to terminate the interview. Reaching out to these anonymous sources we were able to further corroborate -;Wilkstrom từ chối bình luận về những tin đồn liên quan đến việc sửa đổi du thuyền cá nhân của mình. Khi được hỏi thêm về Dự án Thành phố Nổi, Olof Wilkstrom đã chọn kết thúc cuộc phỏng vấn. Tiếp cận với các nguồn tin ẩn danh này, chúng tôi có thể chứng thực thêm-
Story/Vasagatan/MagazineClippingFactbox;Text;;Factbox;Hộp sự thật
Story/Vasagatan/MagazineClippingTitle;Text;;CITIES IN THE BLUE;THÀNH PHỐ TRÊN BIỂN
Story/Vasagatan/OlofsLog1;Text;;"The captain keeps complaining about my route. If he does it again he will be reprimanded. 

The crew doesn’t listen to orders. I’m shocked by their undisciplined nature. Somehow they believe rank and prestige disappeared with solid land. No, they will not be allowed to mingle among my esteemed guests. And they will certainly not be allowed further rations. 

They should be grateful. I am the only reason they are alive.
~Olof Wilkstrom";"Gã Thuyền trưởng cứ phàn nàn về kế hoạch của mình. Nếu còn gã còn dám phàn nàn gã ta sẽ biết thế nào là lễ độ.

Đám thủy thủ đoàn không nghe theo mệnh lệnh. Mình đã bị sốc bởi bản chất vô kỷ luật của chúng. Bằng cách nào đó, chúng tin rằng thứ hạng và uy tín đã biến mất cùng với đất liền. Không, chúng sẽ không được phép ngang hàng với những vị khách quý trên tàu. Và chúng chắc chắn sẽ bị cắt khẩu phần ăn của chúng.

Chúng nên biết ơn. Vì ta là lý do duy nhất chúng còn sống.
~Olof Wilkstrom"
Story/Vasagatan/OlofsLog2;Text;;"As I’ve suspected the crew is completely incompetent. Now they’re claiming RATS have eaten half of our supplies in a matter of weeks. I promised them increased rations if they could bring me one of these ridiculous ‘lurkers’ alive.

Of course, the food shortage will need to be handled. Tonight we’re discussing which staff members are most suitable for termination.
~Olof Wilkstrom";"Đúng như ta nghĩ đám phi hành đoàn này hoàn toàn không đủ năng lực. Bây giờ chúng nói LŨ CHUỘT đã ăn hết một nửa nguồn cung cấp dự trù chỉ trong vài tuần. Mình đã hứa với chúng là sẽ tăng khẩu phần ăn nếu chúng có thể mang về cho mình một trong những con 'Lurkers' lố bịch này còn sống.

Tất nhiên, tình trạng thiếu lương thực sẽ cần phải được xử lý. Tối nay chúng ta sẽ thảo luận xem nhân viên nào thích hợp nhất để chấm dứt hợp đồng.
~Olof Wilkstrom"
